chembl_id,smiles,ic50,ic50_unit,pIC50
CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,31000.0,nM,4.508638306165727
CHEMBL255863,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,3.7,nM,8.431798275933005
CHEMBL1949788,COc1ccc(C(=O)NC[C@@H](O)CO)cc1/C=C/c1ccc(Cl)cc1,50000.0,nM,4.301029995663981
CHEMBL1949789,COc1ccc(C(=O)NC[C@H](O)CO)cc1/C=C/c1ccc(Cl)cc1,50000.0,nM,4.301029995663981
CHEMBL2205766,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,10000.0,nM,5.0
CHEMBL2336017,CN1CCN(Cc2cc(NC(=O)c3cccc(C#Cc4cnc5ccnn5c4)c3)cc(C(F)(F)F)c2)CC1,7.02,nM,8.153662887870194
CHEMBL2336016,CN1CCN(Cc2cc(NC(=O)c3ccc(Cl)c(C#Cc4cnc5ccnn5c4)c3)cc(C(F)(F)F)c2)CC1,10.05,nM,7.997833938243493
CHEMBL2336015,CCc1ccc(C(=O)Nc2cc(CN3CCN(C)CC3)cc(C(F)(F)F)c2)cc1C#Cc1cnc2ccnn2c1,6.811,nM,8.166789119717391
CHEMBL2336014,Cc1ccc(C(=O)Nc2cc(CN3CCCC3)cc(C(F)(F)F)c2)cc1C#Cc1cnc2ccnn2c1,12.47,nM,7.904133546521457
CHEMBL2336013,Cc1ccc(C(=O)Nc2cc(CN3CCCCC3)cc(C(F)(F)F)c2)cc1C#Cc1cnc2ccnn2c1,37.58,nM,7.425043224235493
CHEMBL2336012,Cc1ccc(C(=O)Nc2cc(CN3CCOCC3)cc(C(F)(F)F)c2)cc1C#Cc1cnc2ccnn2c1,17.49,nM,7.757210190521324
CHEMBL2336011,COc1cc(CN2CCN(C)CC2)cc(NC(=O)c2ccc(C)c(C#Cc3cnc4ccnn4c3)c2)c1,13.3,nM,7.876148359032914
CHEMBL2336010,Cc1ccc(C(=O)Nc2cc(Cl)cc(CN3CCN(C)CC3)c2)cc1C#Cc1cnc2ccnn2c1,13.94,nM,7.855737226238009
CHEMBL2336009,Cc1cc(CN2CCN(C)CC2)cc(NC(=O)c2ccc(C)c(C#Cc3cnc4ccnn4c3)c2)c1,6.71,nM,8.173277479831007
CHEMBL2336008,Cc1ccc(C(=O)Nc2cc(CN3CCN(C)CC3)cc(C(F)(F)F)c2)cc1C#Cc1cnc2ccnn2c1,8.93,nM,8.049148541111453
CHEMBL2336007,Cc1cc(Cl)cc(NC(=O)c2ccc(C)c(C#Cc3cnc4ccnn4c3)c2)c1,29.81,nM,7.525638023967369
CHEMBL2336006,Cc1cc(C)cc(NC(=O)c2ccc(C)c(C#Cc3cnc4ccnn4c3)c2)c1,6.34,nM,8.197910742118268
CHEMBL1421,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,4.8,nM,8.318758762624412
CHEMBL2336027,Cc1ccc(C(=O)Nc2cccc(CN3CCN(C)CC3)c2)cc1C#Cc1cnc2ccnn2c1,324.1,nM,6.48932096896779
CHEMBL2336026,Cc1cn(-c2cccc(NC(=O)c3ccc(C)c(C#Cc4cnc5ccnn5c4)c3)c2)cn1,386.5,nM,6.412850501745656
CHEMBL2336025,Cc1ccc(C(=O)Nc2cccc(-n3ccnc3)c2)cc1C#Cc1cnc2ccnn2c1,19.03,nM,7.72056121171298
CHEMBL2336024,Cc1ccc(C(=O)Nc2cccc(N(C)C)c2)cc1C#Cc1cnc2ccnn2c1,9.72,nM,8.012333735073726
