smiles,Name
Cc1ccc(C(=O)Nc2cccc(Cl)c2)cc1C#Cc1cnc2ccnn2c1,CHEMBL2336037
CC(=O)Nc1ccc(-n2nc3c(=O)[nH]nc(N)c3c2-c2oc3cc(C(=O)Nc4cccc(C(F)(F)F)c4)ccc3c2C)cc1,CHEMBL5076889
Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1NCc1cncc(C(N)=O)c1,CHEMBL4439970
CCc1ccc2c(c1)c(=O)c(C(=O)Nc1ccc(Oc3ncnc4cc(OC)c(OC)cc34)c(F)c1)c(C)n2C,CHEMBL4571241
C[C@H]1CN(c2cncnc2)Cc2cc(C(=O)Nc3cc(CN4CCCN(C)CC4)cc(C(F)(F)F)c3)ccc21,CHEMBL4097012
CCN1CCN(Cc2ccc(C(=O)Nc3ccc(C)c(NCc4cnc5[nH]ccc5c4OC)c3)cc2C(F)(F)F)CC1,CHEMBL3422019
Cc1cn(-c2cc(NC(=O)c3ccc4c(c3)C[C@H](Nc3cncnc3)C4)cc(C(F)(F)F)c2)cn1,CHEMBL4558430
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1OC1CCN(C(=O)c2ccncc2)CC1,CHEMBL3809935
CCn1cc(-c2ccc3c(c2)CCN3C(=O)Cc2cccc(OC(F)(F)F)c2)c2c(N)ncnc21,CHEMBL4281823
Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1-c1cccc(-c2cnc3cnccn23)c1,CHEMBL4464080
CCc1ccc(C(=O)Nc2cc(CN3CCN(C)CC3)cc(C(F)(F)F)c2)cc1-c1cccc(-c2cnc3cnccn23)c1,CHEMBL4473475
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1Oc1ccc(-c2n[nH]c3ncnc(N)c23)cc1,CHEMBL4744535
Cc1cc(C)c(-n2ccn3nc(-c4cccnc4)cc23)cc1NC(=O)c1cc(C#N)cc(S(F)(F)(F)(F)F)c1,CHEMBL3907057
Cc1cn(-c2cc(NC(=O)c3ccc4c(c3)CN(c3cncnc3)C[C@@H]4C)cc(C(F)(F)F)c2)cn1,CHEMBL4553037
CC(C)(C)c1cc(NC(=O)Nc2ccc(Nc3ncnc4ccccc34)cc2)n(-c2cccc(N)c2)n1,CHEMBL2403816
CCN1CCN(c2cc(C(=O)Nc3cccc(Nc4ccc5c(OC)cccc5n4)c3)cc(C(F)(F)F)c2)CC1,CHEMBL4795732
O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)NCC(F)(F)F,CHEMBL4649685
Cc1ccc(C(=O)Nc2cc(CN3CCN(C)CC3)cc(C(F)(F)F)c2)cc1C#Cc1cnc2cnccn12,CHEMBL4161036
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccnn2c1,CHEMBL4794765
Cc1cnc(-c2cc(Cl)ccc2F)cc1-n1c(=O)n(CC(N)=O)c2cnccc21,CHEMBL4564126
CS(=O)(=O)N1CCCC(NC(=O)[C@H](CCC2CCCCC2)NC(=O)c2ccc(CNc3ncnc4c3nnn4-c3ccccc3)cc2)C1,CHEMBL4568183
Cc1ccc2c(Nc3ccc(Cl)cc3)nccc2c1NC(=O)c1csc2c(N)ncnc12,CHEMBL3969260
Nc1nc2cc(-c3nn(CC4CCCC4)c4ncnc(N)c34)ccc2o1,CHEMBL3797933
O=C1Nc2ccccc2N/C1=C\C(=O)c1cccc2ccccc12,CHEMBL4531109
CCC(=O)Nc1cc(Nc2ncc(C(=O)Nc3cc(NC(=O)c4cc(OC)c(OC)c(OC)c4)ccc3C)c(NC)n2)ccc1C,CHEMBL4087478
CNc1ncc2c(-c3ccc(N4CCN(C)CC4)cc3)nn(CC3CCCC3)c2n1,CHEMBL4218175
Nc1nc(-c2cccc(-n3ccc4cc(C5CC5)cc(F)c4c3=O)c2CO)c2cc(C3=CCN(C4COC4)CC3)[nH]c2n1,CHEMBL5077961
Cc1ccc([C@H](C)NC(=O)Nc2ccccc2)cc1NC(=O)c1cnc2ccccn12,CHEMBL3608787
Cc1cn(-c2cc(NC(=O)c3cc4cc(c3C)C#Cc3cnc5ccc(nn35)N(C)CCNC(=O)CCCCO4)cc(C(F)(F)F)c2)cn1,CHEMBL5195469
CCS(=O)(=O)c1ccc(Cl)cc1Cn1c(=O)[nH]c2c(Cl)c(CN3CCNCC3)c(C(F)(F)F)cc2c1=O,CHEMBL3422021
CO[C@@H]1OC(=O)[C@]2(CC(=O)c3cc(O)ccc3O)C[C@H]3[C@H](C/C=C(\CC(=O)c4cc(O)ccc4O)C(=O)O)C(C=O)=CO[C@H]3[C@]12C,CHEMBL5201538
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,CHEMBL1171837
CCN1CCN(c2ccc(Nc3ncc4scc(-c5cccc(NS(C)(=O)=O)c5)c4n3)cc2)CC1,CHEMBL4846921
CN1CCN(Cc2cc(NC(=O)c3ccc4c(c3)CN(c3cncnc3)CC4(C)C)cc(C(F)(F)F)c2)CC1,CHEMBL4068810
Cc1nc2c(cnn2-c2csc(C(=O)NC3COC3)c2)cc1Nc1c(F)cccc1Cl,CHEMBL4845770
Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,CHEMBL255863
CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1ccc(CN2CCN(C)CC2)c(C(F)(F)F)c1,CHEMBL3422020
Cc1ccc2c(Nc3cccc(C(F)(F)F)c3)noc2c1C#Cc1cnc2cccnn12,CHEMBL4632409
COc1cc2ncc(-c3cccc(NC4CCNC4)n3)n2cc1-c1cnn(C)c1,CHEMBL5176837
Cc1ccc(-c2cn([C@H]3CC[C@@H](N)CC3)c3ncnc(N)c23)c(F)c1,CHEMBL5177284
COc1cc(-c2cncc(-c3ccc(N4CCNCC4)cc3)c2C)cc(OC)c1OC,CHEMBL4517408
Oc1cccc(Nc2ccnc3cc(-c4cccc(CN5CCOCC5)c4)sc23)c1,CHEMBL2336005
CCc1ccc(C(=O)Nc2cc(CN3CCN(C)CC3)cc(C(F)(F)F)c2)cc1C#Cc1cnc2ccnn2c1,CHEMBL2336015
Cc1ccc(C(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)cc1NC(=O)C1(c2ncnc3[nH]cnc23)CC1,CHEMBL4466555
CN1C(=O)[C@@H](N2CCc3cn(CC4CCS(=O)(=O)CC4)nc3C2=O)COc2ccccc21,CHEMBL4097778
