5SB1_Vina_Name,5SB1_Vina_Score,6FEX_KarmaDock_Name,6FEX_KarmaDock_Score,6FEW_ledock_Name,6FEW_ledock_Score,5SB1_AutodockGPU_Name,5SB1_AutodockGPU_Score,6FEW_KarmaDock_Name,6FEW_KarmaDock_Score,6FEW_AutodockGPU_Name,6FEW_AutodockGPU_Score,5SB2_AutodockGPU_Name,5SB2_AutodockGPU_Score,6FEW_Vina_Name,6FEW_Vina_Score,6FEX_ledock_Name,6FEX_ledock_Score,5SB2_KarmaDock_Name,5SB2_KarmaDock_Score,5SB2_Vina_Name,5SB2_Vina_Score,6FEX_AutodockGPU_Name,6FEX_AutodockGPU_Score,5SB2_ledock_Name,5SB2_ledock_Score,6FEX_Vina_Name,6FEX_Vina_Score,5SB1_KarmaDock_Name,5SB1_KarmaDock_Score,5SB1_ledock_Name,5SB1_ledock_Score
decoy_2474,-13.869,decoy_2052,-53.98444747924805,decoy_2042.dok,-11.69,decoy_2257,-15.9,decoy_2052,-48.65650177001953,decoy_2029,-16.14,decoy_2008,-15.55,decoy_1652,-13.149,decoy_2042.dok,-11.81,decoy_2052,-53.98207473754883,decoy_2474,-13.416,decoy_2033,-14.35,decoy_2439.dok,-11.36,decoy_1068,-13.434,decoy_2052,-58.69317626953125,decoy_2009.dok,-12.19
decoy_2358,-13.668,decoy_2002,-80.05821990966797,decoy_1696.dok,-11.66,decoy_2031,-15.82,decoy_2002,-72.0592269897461,decoy_298,-14.91,decoy_1294,-15.51,decoy_2358,-13.037,decoy_204.dok,-11.52,decoy_2002,-65.6265869140625,decoy_2356,-13.059,decoy_2257,-14.13,decoy_2293.dok,-11.3,decoy_1366,-13.061,decoy_2002,-75.05137634277344,decoy_239.dok,-12.06
decoy_2285,-13.654,decoy_701,-39.4489631652832,decoy_1672.dok,-11.65,decoy_273,-15.62,decoy_701,-36.60855484008789,decoy_2024,-14.88,decoy_1795,-15.51,decoy_260,-12.909,decoy_2017.dok,-11.44,decoy_701,-48.17417526245117,decoy_2392,-12.595,decoy_2001,-14.11,decoy_213.dok,-10.83,decoy_273,-12.943,decoy_701,-42.386810302734375,decoy_993.dok,-12.02
decoy_1662,-13.386,decoy_2335,-59.48130798339844,decoy_1680.dok,-11.61,decoy_2029,-15.55,decoy_2335,-63.9302864074707,decoy_2001,-14.84,decoy_2024,-15.13,decoy_840,-12.896,decoy_2271.dok,-11.08,decoy_2335,-65.76470947265625,decoy_1452,-12.547,decoy_2029,-14.06,decoy_2092.dok,-10.8,decoy_2356,-12.942,decoy_2335,-65.51383209228516,decoy_2272.dok,-12.0
decoy_1452,-13.338,decoy_650,-50.82957458496094,decoy_222.dok,-11.49,decoy_2033,-15.49,decoy_650,-46.554473876953125,decoy_2040,-14.66,decoy_2364,-15.13,decoy_273,-12.806,decoy_1292.dok,-11.08,decoy_650,-51.411319732666016,decoy_1760,-12.446,decoy_2007,-14.05,decoy_2060.dok,-10.75,decoy_2359,-12.923,decoy_650,-54.48864364624024,decoy_213.dok,-11.85
decoy_2392,-13.174,decoy_290,-93.11531066894533,decoy_1769.dok,-11.47,decoy_2358,-15.4,decoy_290,-77.89437866210938,decoy_337,-14.46,decoy_1793,-14.93,decoy_1068,-12.785,decoy_2037.dok,-11.02,decoy_290,-78.0913314819336,decoy_359,-12.341,decoy_2273,-13.99,decoy_2381.dok,-10.57,decoy_2371,-12.908,decoy_290,-82.43456268310547,decoy_1653.dok,-11.82
decoy_282,-12.964,decoy_1113,-57.971622467041016,decoy_2272.dok,-11.36,decoy_2386,-15.35,decoy_1113,-58.77231216430664,decoy_2007,-14.44,decoy_282,-14.89,decoy_2371,-12.774,decoy_2252.dok,-10.76,decoy_1113,-62.00808334350586,decoy_1366,-12.295,decoy_2459,-13.93,decoy_1503.dok,-10.56,decoy_2285,-12.799,decoy_1113,-61.146915435791016,decoy_2276.dok,-11.7
decoy_1201,-12.946,decoy_1349,-50.43938827514648,decoy_2256.dok,-11.35,decoy_333,-15.16,decoy_1349,-53.41054153442383,decoy_2257,-14.3,decoy_2439,-14.76,decoy_948,-12.681,decoy_1658.dok,-10.73,decoy_1349,-60.086055755615234,decoy_1658,-12.204,decoy_2017,-13.92,decoy_2042.dok,-10.54,decoy_1652,-12.792,decoy_1349,-60.10092926025391,decoy_1544.dok,-11.66
decoy_2381,-12.89,decoy_1146,-61.6953239440918,decoy_204.dok,-11.29,decoy_2424,-15.03,decoy_1146,-61.48200225830078,decoy_1294,-14.27,decoy_2356,-14.69,decoy_2373,-12.546,decoy_1655.dok,-10.72,decoy_1146,-67.59925079345703,decoy_1655,-12.19,decoy_2390,-13.86,decoy_2364.dok,-10.5,decoy_345,-12.754,decoy_1146,-65.46102142333984,decoy_204.dok,-11.66
decoy_2356,-12.81,decoy_580,-47.266021728515625,decoy_1658.dok,-11.23,decoy_2021,-14.95,decoy_580,-47.748313903808594,decoy_2012,-14.23,decoy_2360,-14.63,decoy_2272,-12.536,decoy_2033.dok,-10.72,decoy_580,-54.815677642822266,decoy_2381,-12.093,decoy_1672,-13.86,decoy_2474.dok,-10.43,decoy_823,-12.751,decoy_580,-50.00775146484375,decoy_952.dok,-11.65
decoy_344,-12.741,decoy_1170,-78.9866943359375,decoy_2385.dok,-11.22,decoy_1294,-14.84,decoy_1170,-66.03414154052734,decoy_2019,-14.16,decoy_2474,-14.49,decoy_345,-12.51,decoy_2236.dok,-10.71,decoy_1170,-63.03187561035156,decoy_1685,-12.077,decoy_2012,-13.8,decoy_2365.dok,-10.42,decoy_959,-12.739,decoy_1170,-68.95244598388672,decoy_1772.dok,-11.64
decoy_204,-12.632,decoy_22,-47.67637252807617,decoy_219.dok,-11.14,decoy_2004,-14.83,decoy_22,-50.29805755615234,decoy_333,-14.1,decoy_2025,-14.45,decoy_1452,-12.445,decoy_1686.dok,-10.69,decoy_22,-58.07612991333008,decoy_344,-12.054,decoy_2393,-13.74,decoy_2356.dok,-10.4,decoy_1752,-12.69,decoy_22,-47.75141906738281,decoy_230.dok,-11.5
decoy_1281,-12.563,decoy_576,-49.95920181274414,decoy_2273.dok,-11.13,decoy_2364,-14.83,decoy_576,-45.82942581176758,decoy_2459,-14.09,decoy_2284,-14.45,decoy_2362,-12.445,decoy_2256.dok,-10.68,decoy_576,-54.92822265625,decoy_282,-11.984,decoy_2025,-13.74,decoy_1655.dok,-10.38,decoy_2392,-12.688,decoy_576,-54.136962890625,decoy_1658.dok,-11.49
