5SB1_Vina_Name,5SB1_Vina_Score,6FEX_KarmaDock_Name,6FEX_KarmaDock_Score,6FEW_ledock_Name,6FEW_ledock_Score,5SB1_AutodockGPU_Name,5SB1_AutodockGPU_Score,6FEW_KarmaDock_Name,6FEW_KarmaDock_Score,6FEW_AutodockGPU_Name,6FEW_AutodockGPU_Score,5SB2_AutodockGPU_Name,5SB2_AutodockGPU_Score,6FEW_Vina_Name,6FEW_Vina_Score,6FEX_ledock_Name,6FEX_ledock_Score,5SB2_KarmaDock_Name,5SB2_KarmaDock_Score,5SB2_Vina_Name,5SB2_Vina_Score,6FEX_AutodockGPU_Name,6FEX_AutodockGPU_Score,5SB2_ledock_Name,5SB2_ledock_Score,6FEX_Vina_Name,6FEX_Vina_Score,5SB1_KarmaDock_Name,5SB1_KarmaDock_Score,5SB1_ledock_Name,5SB1_ledock_Score
inh_10,-13.301,CHEMBL5077961,-93.6006317138672,inh_21.dok,-11.11,inh_21,-15.86,CHEMBL5077961,-71.01739501953125,inh_21,-14.36,inh_21,-15.13,inh_2,-13.328,inh_2.dok,-10.54,CHEMBL5077961,-76.38898468017578,inh_18,-12.706,inh_21,-14.68,inh_18.dok,-11.28,inh_2,-13.714,CHEMBL5077961,-90.84040832519533,inh_21.dok,-12.34
inh_38,-13.024,CHEMBL4473475,-123.26566314697266,inh_18.dok,-10.83,inh_11,-14.48,CHEMBL4473475,-116.99694061279295,inh_50,-13.8,inh_46,-15.07,inh_50,-13.189,inh_25.dok,-10.42,CHEMBL4473475,-111.72428131103516,inh_36,-12.373,inh_2,-13.21,inh_21.dok,-10.81,inh_29,-13.335,CHEMBL4473475,-120.204833984375,inh_18.dok,-11.93
inh_18,-12.889,CHEMBL3809489,-85.56182861328125,inh_11.dok,-10.43,inh_46,-14.29,CHEMBL3809489,-83.79080200195312,inh_11,-13.33,inh_19,-13.92,inh_29,-13.176,inh_18.dok,-10.3,CHEMBL3809489,-86.74261474609375,inh_43,-12.172,inh_31,-13.18,inh_25.dok,-10.75,inh_50,-12.668,CHEMBL3809489,-91.93634033203124,inh_25.dok,-11.85
inh_19,-12.869,CHEMBL4558430,-86.96806335449219,inh_15.dok,-10.36,inh_6,-13.8,CHEMBL4558430,-80.45829772949219,inh_2,-13.19,inh_43,-13.88,inh_11,-12.13,inh_11.dok,-10.09,CHEMBL4558430,-82.13102722167969,inh_38,-12.049,inh_11,-12.94,inh_43.dok,-10.48,inh_10,-12.634,CHEMBL4558430,-80.3727798461914,inh_15.dok,-11.28
inh_50,-12.817,CHEMBL4466555,-111.80677032470705,inh_22.dok,-10.12,inh_12,-13.67,CHEMBL4466555,-87.17375183105469,inh_46,-12.83,inh_12,-13.69,inh_10,-12.012,inh_38.dok,-10.06,CHEMBL4466555,-97.49348449707033,inh_15,-11.998,inh_18,-12.16,inh_28.dok,-10.26,inh_38,-12.048,CHEMBL4466555,-97.0535659790039,inh_38.dok,-11.23
inh_36,-12.565,CHEMBL4744535,-125.23722839355467,inh_43.dok,-10.06,inh_43,-13.54,CHEMBL4744535,-126.0655746459961,inh_12,-12.44,inh_32,-13.68,inh_16,-11.721,inh_21.dok,-9.95,CHEMBL4744535,-118.12877655029295,inh_50,-11.784,inh_43,-12.06,inh_36.dok,-10.23,inh_19,-12.035,CHEMBL4744535,-127.23336029052734,inh_19.dok,-11.18
inh_32,-12.487,CHEMBL4649685,-79.49515533447266,inh_2.dok,-9.98,inh_50,-13.5,CHEMBL4649685,-70.98399353027344,inh_6,-12.4,inh_18,-13.68,inh_36,-11.714,inh_15.dok,-9.9,CHEMBL4649685,-65.51596069335938,inh_3,-11.754,inh_15,-12.02,inh_33.dok,-10.21,inh_14,-11.816,CHEMBL4649685,-75.98408508300781,inh_46.dok,-11.05
inh_43,-12.357,CHEMBL4218175,-46.98842239379883,inh_10.dok,-9.91,inh_32,-13.43,CHEMBL4218175,-36.583980560302734,inh_43,-12.31,inh_50,-13.6,inh_18,-11.712,inh_22.dok,-9.63,CHEMBL4218175,-51.77758026123047,inh_10,-11.749,inh_12,-11.96,inh_38.dok,-10.18,inh_32,-11.808,CHEMBL4218175,-47.828216552734375,inh_32.dok,-10.9
inh_11,-12.239,CHEMBL3608787,-95.011474609375,inh_25.dok,-9.9,inh_19,-13.32,CHEMBL3608787,-82.95613098144531,inh_19,-12.24,inh_15,-13.59,inh_43,-11.521,inh_36.dok,-9.6,CHEMBL3608787,-73.35353088378906,inh_19,-11.57,inh_44,-11.87,inh_15.dok,-10.0,inh_36,-11.754,CHEMBL3608787,-97.64537048339844,inh_11.dok,-10.88
inh_16,-12.074,CHEMBL255863,-123.84518432617188,inh_12.dok,-9.73,inh_18,-13.15,CHEMBL255863,-109.45755767822266,inh_32,-12.19,inh_2,-13.46,inh_38,-11.436,inh_46.dok,-9.58,CHEMBL255863,-107.61558532714844,inh_7,-11.267,inh_45,-11.74,inh_46.dok,-9.97,inh_11,-11.715,CHEMBL255863,-113.1668930053711,inh_43.dok,-10.82
