Combination,T-Statistic,P-Value
6FEW_ledock,-3.8484988906502164,0.00012177221601075372
6FEW_AutodockGPU,-2.753803275657327,0.005932640622137451
6FEW_KarmaDock,-14.274201596582879,1.5761895192170315e-44
6FEW_Vina,-6.305814120329745,3.3697725700461197e-10
5SB1_ledock,-5.824474231294956,6.451881967909546e-09
5SB1_AutodockGPU,-3.0947910220563584,0.001990966119790096
5SB1_KarmaDock,-14.865857367129655,5.317441646400588e-48
5SB1_Vina,-8.407980530620497,6.852608623884645e-17
6FEX_ledock,-4.046305471320489,5.3585153579632474e-05
6FEX_AutodockGPU,-2.4410002731777274,0.014714478228083432
6FEX_KarmaDock,-15.54517205820443,3.9396092864848915e-52
6FEX_Vina,-6.382515825959011,2.06361647251821e-10
5SB2_ledock,-5.6676604267286494,1.6108874572998458e-08
5SB2_AutodockGPU,-4.288338682572211,1.867345573127031e-05
5SB2_KarmaDock,-12.507783363181511,7.006420124478749e-35
5SB2_Vina,-6.282279953226637,3.912630055155557e-10
